sexo,idade,quantidade
male,75+ years,358
male,55-74 years,1236
male,25-34 years,1832
male,35-54 years,2586
male,15-24 years,1288
female,35-54 years,835
female,55-74 years,339
female,75+ years,79
female,25-34 years,404
female,15-24 years,368
male,5-14 years,56
female,5-14 years,48
